Account ID,Org Name,Supply ID,Abstraction point reference,D-EH10 Resource consent reference number,D-EH10 Reason not available,D-EH12 Consent conditions met for rate of take and volume?,D-EH12 Total volume of exceedance if conditions not met (m3/yr),D-EH13 Consented instantaneous rate of take (L/s),D-EH13 Reason not available,D-EH14 Maximum daily consented volume (m3/day),D-EH14 Maximum weekly consented volume (m3/7 days),D-EH14 Reason not available,D-EH15 Maximum annual consented volume (m3/year),D-EH15 Reason not available,D-EH10 to D-EH15 Data confidence
ACC-00008584,Queenstown Lakes District Council,LAK003,G02144,RM14.313.01,,Yes,,65,,3219,,,419494,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,LUG001,G01343,RM19.413.01,,Yes,,40,,1550,,,187307,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,LUG001,G03088,RM19.413.01,,Yes,,40,,1550,,,187307,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,QUE001,G11224,RM16.142.01,,Yes,,395,,28250,,,6223165,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,QUE001,G11225,RM16.142.01,,Yes,,395,,28250,,,6223165,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,QUE001,G11226,RM16.142.01,,Yes,,395,,28250,,,6223165,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,QUE001,G11227,RM16.142.01,,Yes,,395,,28250,,,622365,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,QUE001,S00061,2007.665,,Yes,,365,,30000,,,,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,QUE001,S00062,2004.552,,Yes,,350,,15000,,,,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,WAN002,S00986,2008.459,,Yes,,200,,12960,,,324000,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,WAN002,S00987,2008.46,,Yes,,400,,27216,,,680400,,5 - Highly Reliable
ACC-00008584,Queenstown Lakes District Council,WAN007,G01941,RM19.097.01,,Yes,,2.8,,220,,,26491,,5 - Highly Reliable
ACC-00007503,Rangitikei District Council,G00041,Bulls - Bore 5,ATH-2007011544.00,,Yes,,13,,1125,,,,Data Not Available,3 - Less Reliable
ACC-00007503,Rangitikei District Council,G00041,"Bulls - Bores 1,2,3 & Well",ATH-1997004447.00,,Yes,,33,,1700,,,,Data Not Available,3 - Less Reliable
ACC-00007503,Rangitikei District Council,G02153,Marton - Tutaenui Bore,ATH-2012014285.00,,Yes,,,Data Not Available,3500,,,,Data Not Available,3 - Less Reliable
ACC-00007503,Rangitikei District Council,G03052,Ratana Well 301033,ATH-2014200014.00,,Yes,,14,,613,,,,Data Not Available,3 - Less Reliable
ACC-00007503,Rangitikei District Council,GO1144,Marton - Calico Line Bore,ATH-1997002995.01,,Yes,,33,,2200,,,216000,,3 - Less Reliable
ACC-00007503,Rangitikei District Council,S00037,Taihape - Hautapu River,ATH-2005009214.00,,Yes,,35,,2900,,,,Data Not Available,3 - Less Reliable
ACC-00007503,Rangitikei District Council,S00038,Mangaweka,ATH-2005010697.01,,Yes,,12.1,,250,,,,Data Not Available,3 - Less Reliable
ACC-00007503,Rangitikei District Council,S00039,Marton- Tutaenui Reservoir,ATH-1997004476.00,,Yes,,,Data Not Available,6500,,,,Data Not Available,3 - Less Reliable
ACC-00007503,Rangitikei District Council,S00040,Hunterville - Rangitikei River,ATH-2007011694.00,,Yes,,28.9,,2500,,,,Data Not Available,3 - Less Reliable
